Startup,URL,Description,Country,Focus Area,Innovation Area,Founded,Maturity,Total Funding,Funding Stage,Theme
Solid Power,https://solidpowerbattery.com/,"Solid Power is developing a solid-state rechargeable lithium-ion batteries. Consists of a cathode, metallic lithium anode and separated by a solid electrolyte layer which claims to offer higher energy density & safer working conditions. Can be used in e-vehicles, industries, aerospace, defense, and medical applications.",USA,Battery technology,Whole System Resources,2011,Emerging,"46,024,821",Series B,Mobility
Solidia Tech,https://www.solidiatech.com/,"Solidia Technologies sequesters CO2 by injecting it into concrete during the manufacturing process, transforming CO2 into a usable element as it helps in curing concrete and  produces a more durable and flexible product. This also gives large- and small-scale concrete producers a competitive edge without losing out on any parameters.",USA,CCT,Greening Industry,2008,Mature,"27,000,000",Series C,Sustainability
Solshare,https://me-solshare.com/,"Solshare is a designer, manufacturer, and seller of innovative, smart solar meters for Solar Home Systems (SHS) with the goal of improving the technical performance of each system and affordable electricity through a SOLshare microgrid network. The microgrid system so established is to provide the member of the microgrid system a chance to use renewable energy and trade off the excess to areas with a higher demand for energy. It has developed a microgrid in the Shakimali Madborkandi village in Bangladesh which connects owners of solar home systems (SHS) with neighboring households not fitted with their own PV installations.",Bangladesh,Emerging Business Models,Enabling Consumers,2015,Nascent,"2,760,000",Series A,Accessibility
Solytic,https://www.solytic.com/en/,"Solytic is a provider of energy monitoring and AI-enabled management solution. Monitoring solutions provided include intuitive monitoring of large-scale rooftop and outdoor systems, as well as utility-scale solar parks. The interface of the portal adapts automatically to data and the number of devices. Also, develops a comprehensive database for the provision of device benchmarks and analysis. Provides a digital image of the PV system for status monitoring.",Germany,Smarter Grid,Smart Operations,2017,Nascent,"3,695,000",Series A,Accessibility
Source,https://www.source.co/,"Source Hydropanel is a technology that incorporates multiple patented inventions alongside proprietary trade secrets, making it a one-of-a-kind renewable water technology that uses the power of the sun to extract clean, pollutant-free drinking water from the air. Collected water is then mineralized for ideal composition and taste, making premium-quality drinking water a readily available resource.",USA,Circular Cities,Circular Economy,2010,Nascent,,Seed,Accessibility
Spark Cognition,https://www.sparkcognition.com/industries/power-generation/,"SparkCognition provides an AI-based predictive analytics solution. The product offers a machine learning-based analytics solutions to predict defects on a combustion turbine and optimizes asset operations. It also detects and protects malware attacks, provides visibility on the process to reduce errors, and business analytics solutions. The product is used in industries such as manufacturing, defense, aviation, maritime, financial services, oil & gas, etc.",USA,Predictive Maintainance,Smart Assets,2013,Emerging,"175,000,000",Series C,Stability
Spiers New Technology,http://www.spiersnewtechnologies.com/#snt,"Spiers New Technologies (SNT) is the leading full-service provider of repair, re-manufacturing, refurbishing and re-purposing of advanced battery packs used in hybrid and electric vehicles.  SNT's services allow vehicle OEM's to optimize the life cycle management of their battery pack inventory and maximize its value. SNT offers a ""one stop"" solution for battery life cycle management including, Qualitative Analysis and safety screening of battery packs that have been removed from their original vehicle, Logistics Management of vehicle battery packs and modules, including monitored, climate-controlled storage, dealer network management and end-of-life recycling preparation, Repair and Refurbishment of vehicle battery packs for redeployment in vehicles and Re-manufacturing vehicle battery packs and modules for second life deployment in  non-vehicle applications",USA,Battery technology,Whole System Resources,2015,Nascent,"2,800,680",Seed,Mobility
Spinlectrix,https://www.spinlectrix.com/,SPIN provides energy storage solutions. It provides flywheel based energy storage technology to store energy. It provides a cost-effective and environmentally friendly energy storage product.,USA,Grid-scale Storage,Whole System Resources,2010,Nascent,"750,000",Seed,Stability
Spirit Energy,https://www.spiritenergy.co.uk/battery-storage-service,"Spirit Energy provides turnkey solar services on a residential and commercial scale. Specializes in solar PV systems, battery storage systems, LED lighting systems, microgrids, EV charging, voltage optimization and others. Services include design, engineering, construction, installation, commissioning, maintenance, repair and others. Projects include a 125kW system for Cowley Marsh Depot, an 11kW system for Southampton University, a 4.5kW residential system and many others.",England,Emerging Business Models,Whole System Resources,2010,Mature,,Unfunded,Accessibility
Stem,https://www.stem.com/,"Stem is a developer of a cloud-based energy solution and has developed a system which leverages real time data, cloud-based predictive analytics, energy storage, and value added services to optimize energy use and stabilize the grid. Stem's coordinated fleet of power monitor sub-meters, power store storage devices and monitors give real time visibility of grid and demand response.",USA,Emerging Business Models,Whole System Resources,2009,Mature,"229,000,000",Series D,Accessibility
Sterblue,https://www.sterblue.com/,"Sterblue is a French drone software startup that has developed a cloud-based industrial platform to automate drone inspection for utility companies. Allows the user to upload the raw information about their infrastructures (supported formats include KML files, CSV tables, JPEG images, Lidar LAS, SHP Shapefiles) and generate 3D flight plans using geometrical parameters for guiding the drone along trajectories that wrap tightly around structures. The captured data is processed using artificial intelligence algorithms that automatically detect and characterize defects on industrial infrastructures. Use cases are in the areas of wind energy, electricity distribution, electricity transmission, and solar energy. The company is a Y Combinator graduate.",France,Predictive Maintainance,Smart Operations,2016,Nascent,"2,166,290",Seed,Stability
StoreDot,https://www.store-dot.com/,"StoreDot develops nano and organic compound enabled multi-purpose batteries. The company develops Li-ion batteries by combining nano-structural material with organic binders(proprietary) and electrolytes to offer optimized battery for multiple sectors. Also, it uses artificial intelligence and machine learning techniques to combine organic compounds with nanomaterials. It offers features like optimized charging rate, scalable production, etc. It can be used for electric vehicles, drones, mobile power banks, etc.",Israel,Infr. for e-transport,Smart Assets,2012,Emerging,"146,000,000",Series C,Mobility
StoreElectric,https://www.storelectric.com/,"Storelectric is developing an energy storage system built for grid scale power in the form of Compressed Air. These compressed air energy storage systems use salt caverns in Cheshire as a means of storing huge amounts of energy. The company has identified specific proven equipment and designs that will deliver it, and corroborated efficiency of 62.3% for a 40 MW plant, expected to be 68-70% efficient when scaled up to a full 500 MW, 21GWh.",England,Grid-scale Storage,Whole System Resources,2012,Nascent,"1,340,480",Seed,Stability
Sun Density,https://www.sundensity.net/,SunDensity provides a smart PV coating solution for solar to improve its efficiency. Its coating enables the up and down-conversion of the wavelengths in white light to match the desired band and increases the quantum efficiency of optoelectronic instruments.,USA,Renewable Generation,Whole System Resources,2018,Nascent,"3,500,000",Seed,Sustainability
Sun Exchange,https://www.thesunexchange.com/,"Sun Exchange is a decentralized crowdsourcing based solar project investment platform. Individual and business investors can purchase or take solar photovoltaic cells on lease through crowd-lending solutions. Post the installation of the cell, users can lease these projects to businesses, hospitals, schools, among others. Users can avail lease rentals in the form of fiat and cryptocurrencies based on solar electricity consumption and usage.",South Africa,Emerging Business Models,Optimising Network Resources,2014,Nascent,"6,940,000",Series A,Accessibility
Sunew,https://sunew.com.br/en/,"Sunew, a spin-off from CSEM Brazil, manufactures and installs organic PV modules. Clients include Enel, Energisa, Fiat Chrysler Automobiles and others. Developed projects for carports, smart stations, rural areas, automobiles, commercial units, bus shelters and others.",Brazil,Renewable Generation,Whole System Resources,2005,Emerging,,Series B,Sustainability
Sunverge,http://www.sunverge.com/,"Sunverge manufactures integrated intelligent distributed energy storage system and energy management platform to manage energy flow and consumption. Offered storage system captures solar power and delivers it when needed most. The products optimize the renewable energy systems by taking advantages of distributed generation, energy storage, and the cloud. The platform can communicate with smart home appliances such as smart plugs, thermostats, smart water heaters, and other devices to optimize energy usage and control the systems from anywhere.",USA,Emerging Business Models,Optimising Network Resources,2009,Mature,"64,500,000",Series C,Accessibility
Sustainable Marine,https://www.sustainablemarine.com/,Sustainable Marine Energy develops tidal energy synthesizing turbine platform. The platform technology (PLAT-O) is moored subsea using anchoring solution. It has tidal energy converters mounted on the platform. The product has been tested with 50KW SIT SHOTTEL instream turbines (supplied by SHOTTEL Hydro).,England,Renewable Generation,Whole System Resources,2012,Nascent,"11,300,000",Series A,Sustainability
Sustanetech,https://sustanetech.com/,"Sustane's technology takes the waste municipal matter left after recycling and turns it into biomass fuel pellets through a proprietary process. They cool and clean the waste, eliminating glass, plastic, and other contaminates to produce the final product which burns cleanly. It won Innovacorp's I-3 Technology Start-Up Competition and the top Waste Diversion Technology.",Canada,Circular Cities,Circular Economy,2014,Nascent,"2,600,000",Series A,Accessibility
Svante,https://svanteinc.com/,"Svante specializes in providing carbon capture solutions from the air. It offers a patented technology that traps carbon produced from the industries such as cement, steel, ammonia, aluminum, methanol, and hydrogen. The captured CO2 is concentrated, processed, and then released for storage or industrial use.",Canada,CCT,Carbon Management,2007,Mature,"75,000,000",Series C,Sustainability
Swedish Algae Factory,https://swedishalgaefactory.com/,"Swedish Algae Factory cultivates certain diatom species of algae which has unique traits of growing in low temperature and light condition & growing dense. It does the cultivation of its indigenous system which uses less surface and energy for cultivation. Post harvesting, the silica frustule of the algae is removed and used in various applications such as solar cells and thermal insulation. The remaining organic algae biomass is then separated into oil and nutrient-rich biomass portion. Oil can be used as a substitute for the palm oil or can be converted into a substitute for crude energy oil by a process called hydrothermal liquefaction. The nutrient biomass can be used in various businesses such as organic fertilizer manufacturing.",Sweden,Renewable Generation,Whole System Resources,2013,Nascent,"397,000",Series A,Sustainability
Swell,https://www.swellenergy.com/,Reseller and installer of energy storage devices,USA,Grid-scale Storage,Whole System Resources,2006,Emerging,"13,600,000",Series A,Stability
Swiftsolar,https://www.swiftsolar.com/,Swift Solar is a developer of flexible perovskite solar cells. Uses hybrid organic-inorganic lead or tin halide-based material as the light-harvesting active layer. Claims to be lightweight and cost-effective than conventional solar panels.,USA,Renewable Generation,Whole System Resources,2017,Nascent,"14,800,000",Series B,Sustainability
Switch Din,https://www.switchdin.com/virtual-power-plants,"SwitchDin offers smart monitoring solutions for solar energy generation systems with battery backups. Offers solutions for monitoring, forecasting, controlling the energy consumption and generation etc., and also offers energy optimisation, demand management for solar-powered battery systems. Have developed monitoring systems named ""Stormcloud"" and ""DROPLET"" which integrates with data communications systems for smooth run of the PV system.",Australia,Smarter Grid,Buildings & Heat,2014,Nascent,"3,460,800",Series A,Accessibility
Switch Materials,http://www.switchmaterials.com/,"SWITCH Materials developed new materials based on proprietary organic molecules that “switch” optical properties on command which can have a number of applications like in areas of molecular electronics and , photochromic inks, paints, high-density optical information storage systems, molecular sensors. Switch materials made smart window using this technology which has a transparent thin film of organic molecule in between two films which turns dark when exposed to sun light and clears out when exposed to electricity.",Canada,Green Building,Buildings & Heat,2007,Emerging,"13,000,000",Series B,Stability
Sylfen,https://sylfen.com/en/home/,"Sylfen has developed integrated energy storage and power generation solution called the Smart Energy Hub, that combines batteries, for their fast switching capabilities, with a reversible technology, acting firstly as an electrolyser to store energy in the form of hydrogen, and also as a fuel cell to produce heat and electricity from stored hydrogen or from biogas.",France,Renewable Generation,Buildings & Heat,2014,Nascent,,Seed,Sustainability
Sympower,https://www.sympower.net/,"Sympower helps by switching on and off together large numbers of electric heating, air conditioning and hot water appliances for demand management Their smart controller learns user preferences and makes sure the needs of the household are met in the optimal way.",Estonia,Smarter Grid,Optimising Network Resources,2015,Nascent,"4,500,000",Series A,Accessibility
Tado,https://www.tado.com/gb-en/,"Tado provides solutions for smart AC thermostats. It claims to have developed an IR device that can control AC from a remote control. The company offers products like a smart thermostat, smart radiator thermostat, smart AC control, and wireless temperature sensor as an add on to their proprietary products.",Germany,Green Building,Buildings & Heat,2011,Mature,"107,000,000",Series F,Accessibility
Teraloop,https://www.teraloop.org/,"Tera Loop is developing a large scale flywheel based Energy Storage System. The company claims that their product can store 500MW, with a capacity of up to 16GWh of power to be used by the grid. They products are to be installed underground leaving minimal environmental footprint, while staying conveniently out of sight.",Finland,Emerging Business Models,Whole System Resources,2014,Nascent,"2,697,230",Series A,Accessibility
Terra Go,https://terragotech.com/,"TerraGo delivers software applications to collect geospatial data, share information and collaboration. The platform provides an application R3 for first responders and public safety officers. The TerraGo Publisher Suite allows organizations to consume and optimize data from any source and create a geo-enabled PDF, also known as a GeoPDF. The TerraGo Collaboration Suite offers desktop, web-based and mobile software applications that automate geospatial collaboration and information gathering. Customers include over 850 organizations, including defense and intelligence agencies, utility and energy companies, public safety departments and environmental engineering. The app is available on Google Play Store and Apple App Store. Boeing, Chevron, HP, Leidos, and Raytheon are part of its clientele.",USA,Asset & data management,Smart Operations,2005,Emerging,"24,843,426",Series A,Stability
Terra Joule,http://www.terrajoulecorp.com/,"Terrajoule Corporation develops a technology that reduces energy costs for industry and agriculture. The technology introduces a category in industrial power: Distributed Generation with Storage (DG-S). Terra Joule's CTO Robert Mierisch invented a practical breakthrough that yields energy storage at less than 20% of the cost of any form of battery storage, per kWh electrical of storage capacity.  Terrajoule storage does not degrade over time, has no limitation on charge-discharge cycles, lasts at least 25 years, and utilizes no toxic or rare materials.",USA,Grid-scale Storage,Whole System Resources,2009,Emerging,"11,500,000",Series A,Stability
Terrapower,https://www.terrapower.com/,TerraPower Generation IV traveling wave reactor (TWR) offers a safe and economic form of low-carbon energy that meets base load demand for electricity. The company is also investigating molten salt reactor (MSR) as an alternative technology. Investors include Bill Gates and Khosla Ventures.,USA,Adjacent Networks,Whole System Resources,2006,Emerging,"35,000,000",Series B,Accessibility
Terrestrial Energy,https://www.terrestrialenergy.com/,Terrestrial Energy is developing a molten-salt fuel based reactor called as Integral Molten Salt Reactor (IMSR) which uses liquid fuel and can generate 400 megawatts of thermal power. Can use low-enriched uranium for the fission process and has a working life of seven years.,Canada,Adjacent Networks,Whole System Resources,2013,Nascent,"41,313,770",Series B,Accessibility
The Things Cloud,https://thethingscloud.com,"The Things Cloud is an IoT big data technology company coupled with hardware design & AI focusing on clean tech. It has 4 products - ThingsHiFi, ThingsWiFi, ThingsCloud, ThingsApp. ThingsHiFi is a solar grid tie inverter that connects to the traditional roof-top Solar PV and doubles as a Net-metering device that supplies power back to the grid. The ThingsWifi is a plug and play device that can monitor energy consumption from any device at home or workplace. ThingsCloud and ThingsApp are the cloud and the mobile application on which the data is hosted and monitored respectively.",India,Smarter Grid,Smart Assets,2014,Nascent,"526,392",Seed,Accessibility
Thrust,https://www.thrust.lt/industries.html,"Thrust is a provider of drone systems for civil and military use. Provides solutions to remotely obtain and analyse information necessary for decision-making by using Unmanned Aerial Systems (UAS) and Artificial Intelligence (AI). It enables collection and automated analysis of visual, thermovisual, 3D cloud data, which can be used for monitoring large territories and quantities.",Lithuania,Predictive Maintainance,Smart Operations,2018,Nascent,"340,000",Seed,Stability
Tiko,https://tiko.energy/,"Tiko is a provider of platform solutions which enables a virtual power plant system and allows for residential energy management. The solution aggregates small loads which include retrofit assets with the help of Cloud-2-Cloud integration which it claims to be compatible with all devices available on the market. The platform is encrypted to protect consumers data. The smart home management system integrates heating systems, coolers, PV systems, storage devices, and e-car charging stations and allows for central control of all the systems via web-based applications. The home gateway range of products include routers to connect the installations to the cloud-based datacenter.",Switzerland,Grid-scale Storage,Whole System Resources,2012,Nascent,"2,000,000",Series A,Stability
Titanaes,https://www.titanaes.com/,"Titan AES has developed an advanced acoustic battery management system for lithium batteries. Claims to increase cell capacity, life cycle, net energy output, and decreases operating costs. Also provides a software solution for manufacturing lithium battery which uses patented technology to alter the molecular structure of a battery by an electromagnetic wave.",USA,Battery technology,Circular Economy,2016,Nascent,"10,192,653",Series A,Mobility
Topolytics,https://topolytics.com/about/,"Topolytics is a data visualization and analytical platform for the waste management industry. The software platform collects data from existing sensors & maps to generate data-driven insights about waste generation, handling & processing steps. Users can view the waste flow procedures till recycling process on a map which allows to model & predict waste generation patterns. Reports are generated which helps in maximizing the waste recovery and reduces waste generation. Allows users to view multiple-waste streams in real-time basis through mobile devices & can optimize cost involved in waste handling.",England,Circular Cities,Circular Economy,2013,Nascent,,Seed,Accessibility
Trameto,https://trameto.com/,"Trameto is a Welsh startup that has developed a power management IC (PMIC), also called HarvestAll, for use with multiple energy harvesting sources. The company claims that a single IC can take inputs from any source of ambient energy, many instances of the same source, or multiple different sources and can replace several others, capturing microwatts to milliwatts of energy from light, vibration and thermal gradient harvesters for managing the outputs of these harvesters to capture the maximum energy. Applications include smart buildings, consumer electronics, asset monitoring, agriculture, wearables, healthcare, and home automation. As of 2018, the company is being supported by the AgorIP programme which is funded by Swansea University, Welsh Government and EU structural funds and is hosted at the School of Management on the Bay Campus.",England,Predictive Maintainance,Smart Operations,2016,Nascent,"1,000,000",Seed,Stability
Triple Solar,https://triplesolar.eu/en/introduction/,"Triple Solar is a designer and manufacturer of solar roof and wall panels. The company name suggests that their solar panels are used for three purposes such as roofing, heating and electricity.  It uses solar panels in combination with a heat pump to develop a high-quality aluminium roofing system that also collects energy for room heating. It is incubated at New Energy Docks, a renewable energy incubator",Netherlands,Green Building,Buildings & Heat,2009,Emerging,,Series A,Accessibility
Twaice,https://twaice.com/,"Twaice provides a hardware & software composite system to analyze and manage battery data. Offers add-on control units for batteries that track & share important battery parameters to the TWAICE cloud via GSM/WiFi and on-board algorithms. The digital twin analytics platform integrates with the control units and builds virtual battery models via proprietary machine learning algorithms. The onboard machine learning algorithms predict future model behaviour and operation conditions for optimum battery life. Also, battery models can be utilized for virtual testing, on-demand reports, battery management systems, predictive battery diagnostics, etc.",Germany,Battery technology,Smart Assets,2018,Nascent,"15,521,770",Series A,Mobility
UE Technologies,https://uetechnologies.com/,"UniEnergy Technologies develops large-scale energy storage systems for commercial/industrial, microgrid, and utility applications. The company utilises a new generation electrolyte chemistry based on Vanadium Redox Flow Battery, initially developed at the US Department of Energy's laboratory. The system comes in the form of a  plug & play ISO containerized design with a compact footprint and a 20 year lifetime.",USA,Grid-scale Storage,Whole System Resources,2012,Nascent,"45,000,000",Series B,Stability
Ulemco,http://ulemco.com/,ULEMCo manufactures commercial vehicles intended to offer ultra-low emission hydrogen-fueled vehicles.  It converts standard diesel commercial vehicles to run as dual fuel hydrogen diesel vehicles. It also provides solutions for hydrogen refuelling.,England,Hydrogen Economy,Transport,2014,Nascent,"866,355",Seed,Sustainability
Ultrasolar,http://ultrasolar.com/,"Ultrasolar Technology develops and commercialized a product 'Quantum Boost' which uses pyroelecctricity (which needs a temperature which keeps varying continuously. ) to increase the energy output by boosting power density for residential, commercial, and utility solar arrays. The QuantumBoost box input is connected to the output of the solar panel and the output of the box is connected to the inverter.",USA,Renewable Generation,Whole System Resources,2010,Emerging,"4,300,000",Series A,Sustainability
Uprise Energy,http://upriseenergy.com/,"Uprise Energy has developed a 50kW mobile wind turbine called the Portable Power Center and a 100kW semi-portable turbine, known as the HAWT 100. These are offshore wind turbines which can fit in a standard shipping container. They additionally do project consulting, engineering and development in the fields of Clean Technology, Renewable Energy, Conventional Energy and Marine Systems/Technologies.",USA,Renewable Generation,Greening Industry,2011,Nascent,"750,000",Seed,Sustainability
Upside Energy,https://upside.energy/,"Provider of solutions for smart energy management. It provides a cloud-based platform that connects with a multitude of devices across commercial, industrial and domestic sites. This includes battery storage systems, electric vehicle charge points, UPS and heating and cooling systems.",England,Smarter Grid,Optimising Network Resources,2013,Mature,,Acquired,Accessibility
Urbint,https://urbint.com/,"Urbint is a data analytics company that focuses on using urban datasets to both develop insights from them. Its offerings include a Toolkit that enables urban professionals (such as traffic planners and civil engineers) to access urban data, APIs that front-end app developers can use for accessing processed urban data, and a Grid that is an enterprise-grade version of its APIs offering, enabling users to access all available APIs and run  third-party algorithms (including ML algorithms) on datasets.",USA,Predictive Maintainance,Safety,2015,Nascent,"20,000,000",Series B,Stability
Urgentem,https://www.urgentem.net/,"URGENTEM is a provider of smart solutions to manage carbon emission data and climate risk. It provides a holistic approach to climate risk through sectoral and tactical allocation lenses. The platform enables users to understand their portfolio emissions and climate risks, meet regulatory and fiduciary reporting requirements, and navigate the transition to a sustainable economy.",England,CCT,Carbon Management,2016,Nascent,"548,162",Seed,Sustainability
Vandebron,https://vandebron.nl/,Vandebron enables retail electricity consumers to directly purchase power from the renewable power generators. The company claims that the rates when purchased from the generator is comparatively lower than if otherwise purchased from the local utility.,Netherlands,Emerging Business Models,Enabling Consumers,2013,Mature,"2,240,000",Acquired,Accessibility
Verdigris,https://verdigris.co/,"Verdigris Building.AI is cloud analytics software for enterprise facilities managers and large commercial buildings. It allows them to optimize operations, increase facility uptime, and save on energy costs. Building.AI is a machine learning analytics SAAS platform and embedded wireless sensor that enables real-time identification, disaggregation, and analysis of the loads in buildings, providing insights about behaviour and usage.",USA,Green Building,Buildings & Heat,2011,Emerging,"23,400,000",Series A,Accessibility
Verv,https://verv.energy/,"Verv is an AI-based energy monitor solution for homes. The company offers advanced home energy monitor and virtual assistance which tracks, monitors and provides information home appliances for efficient energy management. The platform enables users to calculate the cost of powering each appliance in your home giving more control over energy bills.",England,Predictive Maintainance,Enabling Consumers,2014,Nascent,"14,300,000",Series A,Stability
VG Smart Glass,https://www.vgsmartglass.co/,"VG SmartGlass delivers instant privacy, glare, and energy control built into a window. Blinds and shades are awkward, they break, and are limited for energy control. Traditional smart glass is too complicated, expensive and needs power. The VG technology re-invents smart glass.",USA,Green Building,Buildings & Heat,2014,Nascent,,Seed,Accessibility
View,https://view.com/,"View provides smart windows for smart buildings that is claimed to help in reducing headaches, eyestrain and drowsiness and thus improve people's mental and physical wellbeing. The company also claims that the windows is built using their proprietary electrochromic coating and reduces glare and heat, improving the energy efficiency of buildings by 20%. Also provides an AI-powered app that enables monitoring and controlling of the windows from remote places. Has uses cases in sectors such as corporate office, healthcare, education, aviation, and multifamily.",USA,Green Building,Buildings & Heat,2007,Mature,"2,756,916,372",Series H,Accessibility
Viking Cold,https://vikingcold.com/,"Viking Cold Solutions develops energy management software to improve system energy and temperature performance in refrigeration facilities. The company offers algorithms and energy management software solution that optimize thermal energy performance and energy efficiencies within a facility. They also provide thermal energy storage and control system which consists of highly engineered Phase Change Material thermal storage cells and energy management controller that reduces energy consumption, reduces operating costs and extends the useful life of existing mechanical equipment.",USA,Emerging Business Models,Whole System Resources,2007,Emerging,"16,738,499",Series B,Accessibility
Viridity Energy,https://viridityenergy.com/,"Viridity Energy is a Demand Side Management platform which regulates and controls the Demand Side/Consumer side of the Power market. Through its online software, VPower, it assists C&I power consumers optimize their power costs by accessing the power pool of the wholesale power market. To counter the losses that might occur due to mandatory DR programs, the users are offered Energy Intelligence through the platform to buy power from the wholesale market at a lower cost than Utilities, thus helping them reduce their energy costs. Apart from this they also assist renewable energy storage developers and generators in combinong renewable energy with storage and produce dispatchable electricity that the electric grid can rely upon.  By  combining solar with storage, the customer has a new opportunity to generate revenue through the wholesale markets and access tax credits designed to increase storage penetration.",USA,Emerging Business Models,Optimising Network Resources,2008,Mature,"76,500,000",Acquired,Accessibility
Visblue,https://www.visblue.com/,"Visblue manufactures and installs battery storage systems for domestic and commercial purposes. The system uses flow charge based battery developed by the company. The system can be programmed to charge itself when the utility rates are low and cut-off grid power supply and provide electricity when the charges are high. Also, allows users to participate in demand response programs from utility service providers. Can also be connected to mini renewable power sources like solar module and windmills.",Denmark,Grid-scale Storage,Whole System Resources,2014,Nascent,,Seed,Stability
ViZn Energy,https://www.viznenergy.com/,"ViZn manufactures utility-scale battery storage solutions using Zinc Iron Redox batteries. Its Z20 Energy Storage System is self-contained in a 20-foot shipping container, the modules are scalable from 40 to 80 kW. Its patented technology ensures the optimum storage of energy and guarantees a lifespan of 20-plus years. These storage units are very helpful for peak shaving and critical load management for all energy utilities and green energy generators.",USA,Grid-scale Storage,Whole System Resources,2009,Emerging,"60,609,507",Series B,Stability
Volta,https://voltacharging.com/,"Volta is an operator of EV charging networks. It designs, installs and maintains a network of free-to-use EV charging stations in public spaces that comprise customer-centric businesses. The stations include advertisements from its partner brands for customer engagement, and it also provides an app enabling users to find its stations located at retail spaces. Its app is available across both Android and iOS platforms.",USA,Infr. for e-transport,Transport,2010,Mature,"100,000,000",Series C,Mobility
Voltaware,https://voltaware.com/,"Voltaware offers energy monitors for homes to understand the consumption of various appliances through NIALM technique. The Voltaware sensor is installed onto fuse box and fetches the data about the energy usage. After installation, it will take 10 days to read all the appliances using disaggregation algorithm.",England,Green Building,Buildings & Heat,2014,Nascent,"3,320,000",Series A,Accessibility
Volterion,http://www.volterion.com/en/home-en-neu/,Volterion is developing and manufacturing small-scale redox flow batteries for homes and mid-sized commercial buildings to provide a back-up support for grid connection as well as offer an energy storage option for in-house renewable energy generation. company manufactures and sells small-scale redox flow batteries for home. These batteries provide with an output of 2 kW-30 kW which would suffice the requirement of a small home or fairly mid-sized institutional complex.,Germany,Emerging Business Models,Circular Economy,2014,Nascent,"1,360,000",Seed,Accessibility
Voltmarkets,https://voltmarkets.com/,"Volt Markets is a renewable energy credit (REC) issuance, tracking, and trading platform. It is driven by smart contracts on a blockchain that is more secure, transparent, and efficient than existing systems. They are planning to bridg energy and capital markets to distributed ledger technology in order to streamline the distribution, tracking and trading of energy. They provide user memberships which means that Renewable Energy Certificates will be retired on user behalf and that'll be tracked using their blockchain solution and a certificate of provenance. Users could enter their energy usage later on and if its less than the tier they are in, then they will be advertised more prominently. As of September 2016, Volt Markets was going through Boost VC accelerator in Silicon Valley and will be raising a seed round by the end of 2016.",USA,Emerging Business Models,Optimising Network Resources,2016,Nascent,,Seed,Accessibility
Voltserver,https://www.voltserver.com/,"VoltServer is developing power distribution products base on patented 'Digital Electricity' technology which enables remote charging. ""Digital Electricity"" uses special infrastructure without the use of conduit and other electrical power requirements to transmit power from Point A to Point B, furthermore, it needs additional special Transmitters & Receivers to convert the power back to DC/AC for use by any equipments. The company started manufacturing such products which are used to power 4G/LTE mobile services in sports stadiums, office towers, hotels, condominiums and medical buildings. VoltServer plans to expand its remote powering solutions into adjacent markets including converged fiber optic communications, smart LED lighting, centralized battery-backed/critical power/UPS, data center and alternative energy applications.",USA,Smarter Grid,Buildings & Heat,2011,Emerging,"21,536,585",Series A,Accessibility
Voltstorage,https://voltstorage.com/en/,"VoltStorage is an energy storage device that can store clean solar power during the day to power home at night. The VoltStorage doesn't use conventional batteries like other energy storage, but self-developed Vanadium-Redox-Flow cells. That means no rare earth materials are used and at the end of its life, all materials can be recycled. With this technology, it's possible to use the VoltStorage over a period of 25+ years without losing power or capacity.",Germany,Battery technology,Enabling Consumers,2014,Nascent,"7,037,390",Series A,Mobility
Wakecap,https://www.wakecap.com/,WakeCap is developing a smart helmet that monitors the brain signal to detect drowsiness and fatigue in field workers. The company is currently participating in Qatar Science and Technology Park (QSTP) Accelerator program.,Qatar,Personnel Protection,Safety,2015,Nascent,"2,000,000",Seed,Stability
Watt Fuel Cell,https://www.wattfuelcell.com/,"WATT Fuel Cell is a developer and manufacturer of Solid Oxide Fuel Cell stacks and systems that operate on common, readily available hydrocarbon fuels such as propane, natural gas, JP-8, and diesel. It's ceramic based micro-tubular SOFCs operate at high temperatures, enabling operation on commercial fuels such as propane, and delivering efficient, clean power. The company has developed a proprietary manufacturing technique similar to 3D printing called the Additive Manufacturing Process which creates an entire fuel cell tube using automated printing processes.",USA,Battery technology,Transport,2010,Emerging,"14,123,134",Series B,Mobility
WattGlass,https://www.wattglass.com/,"Wattglass has developed an antireflection glass coating for industries such as automotive, consumer, building glass and solar PV. The firm is initially targeting the solar PV market. Their coating changes the way water and other materials interact with glass. Instead of forming droplets, water spreads rapidly on this coating. The coating also has higher transmittance than conventional glass surfaces. This leads to higher electrical output from the solar PVs.",USA,Green Building,Buildings & Heat,2014,Nascent,"2,000,000",Series A,Stability
Wattiq,https://wattiq.io/,"WattIQ was founded as Ibis Networks in 2013 to solve the problem of wasted energy from electrical devices that consume power even when not in use. This problem costs businesses billions of dollars in excess costs per year. Our first commercial product was launched in 2014, with early deployments focused on proving the scalability and reliability ofour networked smart plugs across higher education, K-12 schools and projects driven through utilities.",USA,Green Building,Buildings & Heat,2013,Nascent,"4,000,000",Series A,Accessibility
Wegowise,https://www.wegowise.com/,"WegoWise provides an industry-leading web-based utility analytics platform for the building performance industry. Bridging big data and energy efficiency, WegoWise distills large aggregations of energy and water data into useful, actionable information for building owners, managers, energy auditors and building efficiency programs, enabling them to automatically track, understand and benchmark building performance, and make better efficiency investment decisions. WegoWise’s platform regularly identifies impressive opportunities for cost savings, as inefficient buildings typically pay four times the utility costs of efficient buildings.",USA,Green Building,Buildings & Heat,2010,Mature,"4,900,000",Acquired,Accessibility
