Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD),Year Score,Funding Score,Maturity Score,Maturity,Value Chain Grouping,EU,Focus Area,Opportunity Space
Qapita,https://www.qapitacorp.com/,2,Access Liquidity,4,"Unlisted equities, PE & VC","Qapita provides equity management software for private companies. Its features include cap table management, issue, and tacking of ESOPs, data management, returns management, financial modeling, report management, tax management, document management, and more.",Singapore,2019,Seed,2019,1800000,1800000,0.33,0,0.165,Nascent,2. SECONDARY,N,,
Qaravan,https://www.qaravan.com,3,Manage Risk,9,Data & Risk Analytics,Qaravan is a provider of innovative software and risk & performance analytics tailored to banking and finance industry professionals.,USA,2013,Acquired,2019,-,-,0.66,1,0.83,Mature,2. SECONDARY,N,,
Qbitia,http://qbitia.com,2,Access Liquidity,6,"FI, FX & Listed Equities","Qbitia provides an online trading platform named 'Qcaid' which enables investors to invest in stock, future, and forex etc. It is an automated trading platform which allows the user to design trading strategies with the various asset class. Some of their partners are FX Street, Robo-trader, Trading motion etc.
",Spain,2011,Series A,2016,1196489,679000,0.66,0.33,0.495,Nascent,2. SECONDARY,Y,,
QOMPLX,qomplx.com,4,Automate workflows,12,IT & Data Cost Managament,"QOMPLX makes it faster and easier for organizations to integrate all of the disparate data sources across the enterprise into a unified analytics infrastructure to make better decisions at scale. This broader analytics infrastructure is provided through QOMPLX OS, an enterprise operating system that powers QOMPLX's decision platforms in cybersecurity, insurance, and quantitative finance.",USA,2015,Series A,2019,94790000,78600000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
QRaft,https://www.qraftec.com/,3,Manage Risk,9,Data & Risk Analytics,"Qraft offers AI-based practice management solutions for asset managers. It provides tools for robo advisors, pair trading, trade execution, risk management, insurance, management of operational risks, an ETF operating system, and deep learning solutions to assist in organising and integrating client data.",South Korea,2016,Series A,2019,17000000,9800000,0.33,0.33,0.33,Nascent,2. SECONDARY,N,,
Qredo,https://qredo.com/,3,Manage Risk,10,Crypto-Custody & Encryption,"Qredo powers institutional traders to secure and accelerate the movement of digital assets 24/7 on an open protocol. Qredo eliminates the operational and security burden of wallet key management and the cyber-threats that result from trading operations, storage, and transfer of digital assets",England,2011,Seed,2020,5670951,-,0.66,0,0.33,Nascent,3. POST TRADE,Y,,
Quantexa,https://www.quantexa.com/,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),"Quantexa provides fraud and financial crime solutions and analytics. It uses a dynamic entity resolution and network analytic technology to help organizations in surveillance, protecting fraud, anti-bribery, and corruption losses, and manage compliance and anti-money laundering programs. It captures data from disparate sources and consolidates to use it for examining payment requests, applications for insurance claims, etc.",England,2016,Series C,2020,90100000,64700000,0.33,0.66,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Quovo,quovo.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Quovo is a data platform providing insights and connectivity for financial accounts across institutions. With a suite of APIs, modular applications, and enterprise solutions, Quovo helps deepen relationships by better connecting users to their clients' financial lives.",USA,2010,Series B,2018,20950000,4800000,0.99,0.33,0.66,Emerging,6. OTHER,N,,
R3 Corda ,https://www.r3.com/corda-platform/,4,Automate workflows,11,Trade Straight Through Processing,"R3 is a consortium of banks, exchanges, clearing houses, market infrastructure providers, asset managers and central banks aiming to develop applications of distributed ledger technologies for financial institutions. Their core product goes by the name of Corda. Built in collaboration with over 80 banks, it is an industry grade blockchain that is compliant with the requirements of government and requirements of commercial enterprises alike. Corda's aim is to be a permissioned blockchain enterprises can modify as per internal requirements.",USA,2013,Series A,2019,112000000,14500000,0.66,0.33,0.495,Nascent,5. E-2-E INTEGRATION,N,,
RadixDLT,https://www.radixdlt.com/,2,Access Liquidity,5,Tokenization and Digital Assets,"Radix is an application development platform. The platform claims to offer a platform that allows faster transactions and a stable coin using supply elasticity. Allows the development of decentralized applications, tokens and smart contracts. RadixDLT stores transactions and orders in the protocol in a global distributed ledger named the Tempo Ledger.",England,2013,Series A,2020,10000000,4100000,0.66,0.33,0.495,Nascent,2. SECONDARY,Y,,
RateSetter,https://www.ratesetter.com/,5,Engage Consumers,16,P2P Platforms,"RateSetter is a P2P platform for consumer loans. It allows people to lend and borrow money with each other, by setting interest rates and terms. It offers loans such as personal loans, property loans, dealer loans, and more. Loans are transferred to the borrower's registered bank account.",England,2010,Acquired,2017,55000000,16700000,0.99,1,0.995,Mature,6. OTHER,Y,,
RedLine Trading,https://www.redlinetrading.com/,4,Automate workflows,11,Trade Straight Through Processing,"Redline Trading designs, develops, and deploys trading solutions to solve the latency and throughput challenges in equities, options, and futures markets. It offers Redline InRush, an accelerated ticker plant that simultaneously manages direct-connected equities, futures, and options exchange feeds in real time, as well as connects multiple exchange feeds to trading applications; integrates into existing infrastructure and helps to safeguard equipment investment; accelerates order, price-aggregated, and composite books. The company also provides Execution Gateway, which offers an accelerated order execution and management for algorithmic trading strategies and smart order routing.",USA,2008,Series A,2014,12500000,4000000,0.99,0.33,0.66,Emerging,2. SECONDARY,N,,
Refinitiv,https://www.refinitiv.com/en#,3,Manage Risk,9,Data & Risk Analytics,"Refinitiv provides technological software for data management, trading, risk & compliance, research & analytics, audit, investment management, news & insight, banking, wealth management, corporate governance, KYC, financial crime, regulatory intelligence, corporate treasury and various other. It also offers financial data covering data related to market, company, multi-assets, investments and financial benchmark.",England,2018,Acquired,2019,-,-,0.33,1,0.665,Emerging,2. SECONDARY,Y,,
Regnosys,http://www.regnosys.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"REGnosys is a Regulatory Fintech founded by two former Goldman Sachs' senior MDs from the Strats and Technology organisations. Its unique technology combines Programmatic Compliance and Open Sourcing to drive a radical shift in the financial industry's approach to regulatory compliance. REGnosys' Programmatic Compliance platform allows market participants to transparently evidence the compliance of their implementations, where their current technology to discharge regulatory obligations has become too complex and opaque to be auditable. The platform is built upon a canonical representation of marketplace standards, flows and practices, automatically translated into executable code and bound to rule provisions.",England,2016,Seed,2017,900000,900000,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Synapse,synapsefi.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Synapse provides white-label APIs for banking services. The company offers payment, deposit, lending and investment products as APIs to fintech companies that enable them to build and launch financial products. Also offers bank-facing APIs that allows banks to automate their back-end operations.",United States,2014,Series B,2019,50000000,33000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Clinc,clinc.com,4,Automate workflows,13,Document Streamlining,"Clinc is a global conversational AI training platform provider deploying natural language processing and deep learning technology for enterprises. The company leverages a combination of natural language processing (NLP) engines, machine learning, and deep neural networks to make sense of human speech.",United States,2017,Series B,2019,59720000,52000000,0.33,0.33,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Regvolution,https://regvolution.com/,3,Manage Risk,9,Data & Risk Analytics,"Regvolution provides AI-enabled risk management solutions to banks and financial institutions. It facilitates risk & finance data-based decisions. It provides machine learning and optimization models for portfolio management, capital optimization opportunities, business decision alignment, and more.",England,2018,Seed,2019,2326,2326,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Renew Financial,http://www.renewfinancial.com,5,Engage Consumers,15,Banking & Personal Finance,"Renewfinancial offers financing services for the completing of renewable projects, energy efficiency projects and water saving projects and have a presence across the United States. The company caters to contractors, property owners and government organization. Property Assessed Clean Energy program allows homeowners to finance the installation of energy and water improvements on homes through the issuance of a municipal bond, and pay the amount back as a line item on their property tax bill.",USA,2008,Series D,2017,102200000,300000000,0.99,0.66,0.825,Mature,6. OTHER,N,,
Reportally,https://www.reportally.com/,4,Automate workflows,13,Document Streamlining,Reportally (fka Invrep) provides investor reporting software with cap table builder and investor dashboard. Investor reporting dashboard helps users to have effective communication with investors for reporting and document storage. Investors can add comments which can be reviewed by founders.Investor dashboard gives an overview of the entire portfolio with analytics and comparison stats. The reporting platform and cap table management is free while investor dashboard charges $10 / £6 per company per month for premium features.,England,2013,Seed,2013,250000,250000,0.66,0,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Ripjar,https://ripjar.com/,3,Manage Risk,9,Data & Risk Analytics,"Ripjar enables organizations to listen, analyze, and visualize the data that matters. Integrates and collects external data (twitter firehose, social media, blogs, RSS, and news feeds), as well as organizations, own internal data (surveys, reports, sales figures, infrastructure alerts). The analytic capability of the Ripjar platform uses an ensemble of dynamic Natural Language Processing and Deep Learning techniques to provide insights.
",England,2012,Series B,2020,60000000,36800000,0.66,0.33,0.495,Nascent,5. E-2-E INTEGRATION,Y,,
ClearBank,clear.bank,4,Automate workflows,14,"Cash, Payments & Banking As a Service","ClearBank a is UK-based clearing bank. The company plans to create a new level of open competition and transparency within the U.K. financial services marketplace. ClearBank is neutral, independent and is not constrained by legacy infrastructure. Its state of the art technology transforms the ability for financial institutions to provide Current Accounts to their customers, resulting in faster and more efficient payments, while delivering complete financial inclusion. ClearBank is built on a platform specifically designed for clearing services, connected to all UK payment schemes and designed in accordance with ISO 20022.",United Kingdom,2014,Series A,2019,109460000,78320000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Rise Technologies,https://www.rise-technologies.com/,4,Automate workflows,11,Trade Straight Through Processing,"RISE addresses the needs of the post-trade industry by providing a B2B open source ledger software and network to be hosted by RISE clients. They also provide 1) Ledger API that allows integration with legacy platforms via traditional programming languages 2) Cryptographic Rights to perform business functions on the ledger. They have developed an underlying multi-asset class, multi-currency distributed financial ledger technology built for the post-trade securities industry. Regulated financial institutions can join and run their permissioned settlement and safekeeping network. Their website is credential protected as of June 2016. In September 2016, the company was awarded by SWIFT at the Sibos conference for its post-trade distributed ledger.",Germany,2015,Series A,2019,3500000,3500000,0.66,0.33,0.495,Nascent,5. E-2-E INTEGRATION,Y,,
Riskalyze,riskalyze.com,3,Manage Risk,9,Data & Risk Analytics,"Riskalyze empowers investment advisors to capture a quantitative measurement of client risk tolerance, and use that data to win new clients, capture and meet expectations, and quantify suitability. Riskalyze provides its technology to licensed investment advisors in the United States, who use it to capture risk tolerance and quantify suitability for their clients.",USA,2011,Corporate Round,2020,27040000,3500000,0.66,0.66,0.66,Emerging,2. SECONDARY,N,,
Mambu,mambu.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Mambu is an SaaS banking platform that powers digital financial services, providing flexible, banking architectures that allow its clients to operate like tech companies rather than banks.",Germany,2011,Series C,2019,44640000,33960000,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,Y,,
Robinhood,robinhood.com,5,Engage Consumers,15,Banking & Personal Finance,"Robinhood allows users to invest in United States' stocks and ETFs, commission-free, and Robinhood Gold; its paid service for active investors, supports margin and extended hours trading.",USA,2013,Series G,2020,2172000000,460000000,0.66,0.66,0.66,Emerging,2. SECONDARY,N,,
Roofstock,https://www.roofstock.com/,2,Access Liquidity,3,"Alt debt, loans & SME financing","Roofstock is an online marketplace for investing in leased single-family rental homes in a transparent and low-friction way. The company provides its clients with research, analytics, and insights to evaluate and purchase independently certified properties at set prices. It enables its investors to treat their real estate investments more like stock portfolios, focusing on asset allocation, rather than researching, and buying vacant homes that need to be repaired and leased. Founded in 2015, Roofstock gets its funding from Bain Capital, Ron Conway, Khosla Ventures, Marc Benioff, and other investment companies. It is headquartered in Oakland, California.",USA,2015,Series D,2020,132250000,50000000,0.66,0.66,0.66,Emerging,2. SECONDARY,N,,
AtScale,atscale.com,4,Automate workflows,12,IT & Data Cost Managament,"Atscale helps create Dynamic Cubes to reduce the complexity of traditional approaches by eliminating the need for data movement or tool-specific data structures. These Cubes or data models allows Business analysts to be more effective. Existing BI tools can be used to connect to Hadoop using AtScales's virtual cube with JDBC, ODBC etc to extract the required information. It has a hybrid query service and an adaptive cache along with a design dashboard to create the required data models.",United States,2013,Series D,2018,95700000,50000000,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Sanostro,https://sanostro.com/,3,Manage Risk,9,Data & Risk Analytics,"Sanostro provides a research platform for alternative investments to institutional investors, banks, asset managers, and asset managers. It offers Alpha-as-a-Service which provides clients with access to quantitative investment insights and market signals, quantitative and actionable investment research, and in-house research. Also offers distribution channel solutions for hedge fund managers to access new investors.",Switzerland,2011,Seed,2020,30000,30000,0.66,0,0.33,Nascent,2. SECONDARY,Y,,
Softomotive,softomotive.com,4,Automate workflows,13,Document Streamlining,"Continuity is a leading provider of Regulatory Technology (RegTech) solutions that automate compliance management for financial institutions of all sizes. By combining regulatory expertise and cloud technology, Continuity provides a proven way to reduce regulatory burden and mitigate compliance risk at a fraction of the cost. Our solutions are designed to automate all aspects of compliance management, from interpretation of regulatory issuances through intuitive task delegation, vendor management, and board reporting. Continuity serves hundreds of institutions across the US and its territories. Continuity is a Compliance Management System for community banks and credit unions. Engineered to reduce the time, cost and risk impacts of regulation, this unified system automates the entire regulatory lifecycle  managing regulatory updates, policies, procedures, risks, vendors, audits, business continuity, exam preparation, compliance strategy, and planning.",England,2005,Series A,2018,25000000,25000000,1,0.33,0.665,Emerging,4. CLIENT SERVICING & SUPPORT,Y,,
Scaled Risk,http://www.scaledrisk.com,3,Manage Risk,9,Data & Risk Analytics,"Scaled Risk develops, markets and supports a wide range of software to financial institutions. These next-generation solutions based on Big Data technologies cover all cases of application of Risk Management and Front Offices, position calculation, Trade Analytics and real-time fraud detection. Pioneer in Big Data, Scaled Risk has significantly improved several components in Hadoop, including HBase; as a Major player of Hadoop ""Enterprization"", Scaled Risk supports financial institutions growth with Big Data Innovations.",France,2012,Acquired,2018,3439420,3439420,0.66,1,0.83,Mature,2. SECONDARY,Y,,
ScaleFactor,https://www.scalefactor.com/,4,Automate workflows,13,Document Streamlining,"Scalefactor provides online bookkeeping software for small businesses. It features solutions for recording transactions, tracking expenses, tracking mismatched transactions, payroll reconciliation, invoice reporting, and more. Its pricing is available on a monthly subscription plan.",USA,2014,Series C,2019,102870000,60000000,0.66,0.66,0.66,Emerging,6. OTHER,N,,
eToro,etoro.com,5,Engage Consumers,15,Banking & Personal Finance,"eToro's platform enables people to invest in 2000+ assets, from stocks and commodities to crypto assets. eToro is a global community of more than 13 million registered users who share their investment strategies, and anyone can follow and copy the approaches of those who have been the most successful. Users can easily buy, hold and sell assets and monitor their portfolio in real-time.",United Kingdom,2006,Series E,2018,172700000,100000000,0.99,0.66,0.825,Mature,6. OTHER,Y,,
ScribeStar,https://www.scribestar.com/,4,Automate workflows,13,Document Streamlining,"Scribestar offers document and workflow management solutions for law firms. It allows businesses to manage legal documents and helps investment banks, law firms and other capital markets to manage versions and translations of the document. Other offerings include collaborative drafting, document verification, checklist management and business management solutions.",England,2009,Seed,2019,19500000,2500000,0.99,0,0.495,Nascent,5. E-2-E INTEGRATION,Y,,
Seal Software,http://seal-software.com/,4,Automate workflows,13,Document Streamlining,"Seal Software is the leading provider of contract discovery, data extraction, and analytics. With Seal's machine learning and NLP technologies, companies can find contracts of any file type across their networks, quickly understand what risks or opportunities are hidden in their contracts and place them in a centralized repository. Seal empowers enterprises around the world to maximize revenue opportunities, reduce costs, and mitigate risks associated with contractual documents, systems, and processes. Seal Software also provides User Driven Machine Learning, which allows business users to train the systems machine learning functions and extract data; and extensibility, contract analytics, and data visualization solutions.",USA,2010,Acquired,2019,58000000,15000000,0.99,1,0.995,Mature,4. CLIENT SERVICING & SUPPORT,N,,
Seccurency,https://securrency.com/,2,Access Liquidity,3,"Alt debt, loans & SME financing","Securrency provides “Securitization as a Service” through a platform to unlock latent asset value by converting income-earning potential tied to individual assets into highly-liquid exchangeable financial instruments. They further claim that their capability combines the investment-grade characteristics of a security (stability and yield) with the everyday utility of a currency (liquidity, transferability, and exchangeability).",USA,2015,Series A,2020,18300000,17600000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Second Measure,https://secondmeasure.com/,3,Manage Risk,9,Data & Risk Analytics,"Second Measure promises to bring some clarity to the process of analyzing companies and their success. Through partnerships with proprietary data providers, Second Measure has built a software platform that analyzes billions of consumer purchases to provide valuable insight into the sales and growth rates of public and private companies.",USA,2015,Series A,2019,25400000,20000000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
SeedLegals,https://seedlegals.com/,4,Automate workflows,13,Document Streamlining,"SeedLegals offers legal document automation and agreement management software. The platform allows users to build shareholder agreements, articles and work with teams. It enables users to connect with teams, build NDA's and agreements to manage a contract between two parties. It helps investment companies to manage investments and document automation solutions. It offers a subscription-based pricing model.",England,2016,Series A,2019,5305154,4000000,0.33,0.33,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Selerity,http://www.selerityinc.com,3,Manage Risk,9,Data & Risk Analytics,Selerity provides A.I. for financial workflow automation - they deliver unstructured data solutions that automate inefficient workflows in finance & business,USA,2008,Series C,2016,12220000,4200000,0.99,0.66,0.825,Mature,2. SECONDARY,N,,
Covestor,covestor.com,5,Engage Consumers,15,Banking & Personal Finance,"Covestor offers a real-trade sharing service for self-investors, designed to share real investment decisions, gain recognition and earn fees by helping others.",United States,2007,Series B,2013,24850000,12750000,0.99,0.33,0.66,Emerging,6. OTHER,N,,
Serisys,http://serisys.com,4,Automate workflows,11,Trade Straight Through Processing,"Serisys is a technology services company headquartered in Hong Kong, with offices in Bangkok, London, Singapore, and Tokyo. Serisys has grown rapidly by supplying securities processing systems to the capital markets and banking industries in China and the Asia Pacific region, on both an Enterprise and an application service provision (ASP) basis. They offer an integrated multi-asset front office trading system (DECIDE) and a middle and back office trade processing system (ADYPT)â€”both the most advanced systems available. They provide 24/7 mission critical support for their customers.","Hong Kong, Hong Kong Island, Hong Kong",2007,Unfunded,-,-,-,0.99,0.66,0.825,Mature,3. POST TRADE,N,,
Setl,https://setl.io/,4,Automate workflows,11,Trade Straight Through Processing,"SETL deploys a multi-asset, multi-currency institutional payment and settlements infrastructure based on blockchain technology. The SETL system will enable market participants to move cash and assets directly between each other, facilitating the immediate and final settlement of market transactions. The SETL system maintains a permissioned distributed ledger of ownership and transaction records, simplifying the process of matching, settlement, custody, registration and transaction reporting.",England,2015,Corporate Round,2018,-,-,0.66,0.66,0.66,Emerging,5. E-2-E INTEGRATION,Y,,
SFOX,sfox.com,2,Access Liquidity,5,Tokenization and Digital Assets,"SFOX, short for the San Francisco Open Exchange, is a cryptocurrency prime dealer for large-scale investors.",USA,2014,Series A,2019,24320000,1550000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
Sharegain,https://sharegain.com/,3,Manage Risk,9,Data & Risk Analytics,"Sharegain provides securities' owners a platform to lend their assets for a lending fee. The company covers stocks, bonds and ETFs. The service is intended to be used by private and retail investors with portfolio exceeding £500,000.",England,2015,Series C,2018,12000000,5000000,0.66,0.66,0.66,Emerging,2. SECONDARY,Y,,
Shares Post,https://sharespost.com/,2,Access Liquidity,4,"Unlisted equities, PE & VC","SharesPost offers an online platform that links investors with late-stage venture-backed companies and shareholders. The company focuses on managing secondary liquidity and raising primary capital. Additionally, it offers data feed and third-party research services. ",USA,2009,Series C,2018,18000000,15000000,0.99,0.66,0.825,Mature,1. PRIMARY,N,,
Sigma,https://www.sigmaratings.com/,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),Sigma Ratings is a non-credit rating agency focusing on financial crime and governance risk. The company is driven by its mission to make the world a more open and transparent place by incentivizing and highlighting good corporate behavior.,USA,2016,Seed,2018,5280000,2400000,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Simply Asset Finance,https://www.simply.finance/,2,Access Liquidity,3,"Alt debt, loans & SME financing","Simply Asset Finance provides specialist asset finance to the UK SME market. The Company focusses on the Construction, Recycling, Manufacturing and Transport industries, providing finance in the form of Hire Purchase and Finance Lease agreements for â€œhardâ€ assets with established market valuations.",England,2017,Seed,2019,-,-,0.33,0,0.165,Nascent,6. OTHER,Y,,
Skew,https://skew.com/,3,Manage Risk,9,Data & Risk Analytics,"Skew is a cryptocurrency market research platform. It offers real-time cryptocurrency market data for crypto derivatives. It provides a custom dashboard of traders, investors, businesses, and individuals investors.",England,2018,Series A,2020,7000000,5000000,0.33,0.33,0.33,Nascent,2. SECONDARY,Y,,
SmartAsset,https://smartasset.com/,5,Engage Consumers,15,Banking & Personal Finance,"SmartAsset is a financial technology company that uses data to provide free, advice for financial decisions on issues including home buying, retirement, life insurance, student loans, refinance, credit cards and checking accounts. It uses a decision engine and optimization tool that measures the efficacy of different strategies, quantifies the true cost of financing alternatives and recommends specific financial products based on their suitability and cost to users specific situation.
",USA,2012,Series C,2018,50531095,28000000,0.66,0.66,0.66,Emerging,6. OTHER,N,,
Socure,http://www.socure.com,3,Manage Risk,7,Fraud & Cybersecurity,"Socure's predictive analytics platform applies artificial intelligence and machine-learning techniques with trusted online/offline data intelligence from email, phone, address, IP, device, velocity, and the broader internet to verify identities in real-time.  Socure powers financial inclusion by approving as much as 40% more millennial and other thin-file consumers. It also reduces fraud for online new account openings by up to 95% with false positives of better than 1:1 and cuts manual review rates by as much as 90%.  It was founded in 2012 by Johnny Ayers, Chief Product Officer, and is led by CEO Tom Thimot. The company is based in New York City, with offices in San Diego, San Jose, and Chennai, India.",USA,2012,Series C,2020,94400000,35000000,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Solidus Labs,https://www.soliduslabs.com/,3,Manage Risk,9,Data & Risk Analytics,"Solidus Labs has developed a digital asset trade surveillance solution. The solution utilizes machine learning to detect, address, investigate and report market manipulation in digital asset trading. Features include collaborative and customizable alert management; regulatory reporting and compliance management. Clients include digital asset broker-dealers, market makers, hedge funds, centralized and decentralized exchanges.",USA,2017,Seed,2019,3000000,3000000,0.33,0,0.165,Nascent,2. SECONDARY,N,,
Solovis,solovis.com,3,Manage Risk,9,Data & Risk Analytics,"Solovis provides foundations, endowments, pensions, OCIOs, and family offices with multi-asset class portfolio management and reporting solutions that generate detailed, transparent reports in real-time. The platform can analyze and model data across multiple portfolios, relationships, and pools of capital, then deliver automated, consolidated reports that empower investors spanning their front to back office.On March 9, 2020, Solovis was acquired by Nasdaq. The terms of the transaction were not disclosed.",USA,2013,Series C,2019,25290000,4540000,0.66,0.66,0.66,Emerging,2. SECONDARY,N,,
Spark Systems,http://www.sparksystems.sg/,2,Access Liquidity,6,"FI, FX & Listed Equities","Spark Systems is an exciting new Fin-Tech startup funded by industry veterans, we are the first high tech solution provider for institutional forex trading that is originated in Asia. We aim to build world class FX trading platform to serve a growing Asia financial hub. As early member of the firm you will be involved from the very beginning of building something truly special, and will be duly rewarded with a fast-track career.",Singapore,2016,Series B,2020,15491291,10508433,0.33,0.33,0.33,Nascent,2. SECONDARY,N,,
Spotware,https://www.spotware.com/,4,Automate workflows,12,IT & Data Cost Managament,"Spotware Systems (previously known as cTrader) is a financial technology company that develops trading platforms for onlineForeign exchange market and CFD brokers, banks, and traders. Spotware is known for its trading platforms cTrader, cMirror and cAlgo. The financial technology Spotware develops is focused on electronic-forex ECNs and offers integrated Platform as a service (PaaS) solutions. ",Cyprus,2010,Series A,2010,16000000,16000000,0.99,0.33,0.66,Emerging,2. SECONDARY,Y,,
Square,http://squareup.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Square helps anyone take care of their business. Square's complete register service is a full point of sale with tools for every part of running a business, from accepting credit cards and tracking sales and inventory to small-business financing. Customers also use Square Cash, the easiest way to send and receive money, and Square Order, a new way to pre-order food and drinks for pickup.  Founded in 2009 and headquartered in San Francisco, Square is currently available in the United States, Canada, and Japan.",USA,2009,Public,2016,490500000,,0.99,0.66,0.825,Mature,4. CLIENT SERVICING & SUPPORT,N,,
Stash,stashinvest.com,5,Engage Consumers,15,Banking & Personal Finance,"Stash is a mobile app offering users a way to invest based on goals, interests and beliefs. Stash helps people start investing with small sums, gain investing confidence gradually, and build smart financial habits for the long-term.",USA,2015,Series F,2020,314250000,21000000,0.66,0.66,0.66,Emerging,6. OTHER,N,,
Steel Eye,https://www.steel-eye.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Steel eye: We bring together all your financial and regulatory data under one lens to enable you to effortlessly meet your compliance needs - because when all your data is in one place, you can manage multiple obligations easily and cost-effectively. Our comprehensive RegTech suite interacts natively with this data to give you value back from your compliance. ",England,2017,Series A,2020,20000000,10000000,0.33,0.33,0.33,Nascent,5. E-2-E INTEGRATION,Y,,
StockViews,https://stockviews.com,3,Manage Risk,9,Data & Risk Analytics,StockViews is an investment research platform. We have a singular focus on finding misplaced securities in the market using machine intelligence and high-performance investment analysts StockViews Ltd is authorised and regulated by the Financial Conduct Authority (Reference number: 763770),England,2014,Series A,2018,1739879,720661,0.66,0.33,0.495,Nascent,2. SECONDARY,Y,,
Stratumn,https://stratumn.com,3,Manage Risk,7,Fraud & Cybersecurity,"Stratumn is a network technology company that partners with large organizations to secure their critical process data. Stratumnâ€™s Proof of Process Technology enables traceability, transparency and data integrity, thus reducing costs and complexity of the interactions between partners, customers, auditors, and regulators. The solution offers a common audit trail, secured by blockchains and cryptography, where stakeholders can collaborate without revealing their private and confidential data.",France,2015,Series A,2017,9667927,1165891,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
StreetContxt,http://streetcontxt.com,3,Manage Risk,9,Data & Risk Analytics,"Street Contxt is an information marketplace built for global Capital Markets. Their platform insights are contextual to each user. They assist sell side content producers - including sales, trading, desk analysts, research analysts, banking, and ECM - to distribute and track engagement in their desk commentary, research reports and news updates. Street Contxt integrates with CRM programs and produces reporting that delivers actionable insights enabling sell side firms to be engaged in the health check of their desk, client engagement, commission allocation and business continuity. They also work with buy side - Hedge Funds, Pension Funds, and Institutional Asset Managers, assisting them in tailored discovery of new and relevant content in real time.
",Canada,2012,Series B,2017,15000000,7000000,0.66,0.33,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Suade,https://suade.org/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Suade Labs' product Suade allows G20 banks to comply with global regulations in relation to their capital adequacy, liquidity and leverage requirements. Currently, these processes lack any industry-standard implementation of dedicated technology. Suade Labs claims that Suade is a lightweight solution that helps banks sort and source their data, generate powerful business intelligence and submit the required regulatory reports without any dependencies or disruption of the current bank architecture. It also allows for calculations, analysis, stress-tests, audits and optimization solutions with the initial target being Basel III.",England,2014,Seed,2015,-,-,0.66,0,0.33,Nascent,5. E-2-E INTEGRATION,Y,,
Subscribe Platform,https://subscribeplatform.com/,4,Automate workflows,13,Document Streamlining,"SUBSCRIBE offers electronic documentation solutions & virtual data rooms for alternative investment firms. It features e-SubDocs for the digitization of subscription documents for all types of funds and investors, access to investor profiles, reporting, and data, and virtual data rooms to assist in fundraising activities. It provides a central digital hub for all digital subscriptions and duns administrative processes for placement agents, custodians & law firms.",USA,2015,Unfunded,-,-,-,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Sudrania Fund Services,https://sudrania.com/,4,Automate workflows,12,IT & Data Cost Managament,Sudrania Fund Services fund administrator marrying the power of cloud computing with boutique service model scaled for volume.,USA,2016,Seed,2020,-,-,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,N,,
Symbiont,https://www.symbiont.io/,4,Automate workflows,13,Document Streamlining,"Symbiont provides a smart contract platform. It allows financial institutions and businesses to automate business processes on a decentralized network using smart contracts. It offers solutions for mortgage, loans, private equity and crowdfunding, debt, asset digitalization, etc.",USA,2013,Series B,2019,29800000,21500000,0.66,0.33,0.495,Nascent,5. E-2-E INTEGRATION,N,,
